topic,content
ROI,Return on Investment measures profitability of an investment relative to its cost.
Mutual Funds,Mutual funds pool money from investors to invest in diversified assets.
Equity,Equity represents ownership in a company through shares.
Bonds,Bonds are fixed income instruments where investors lend money to entities.
Diversification,Diversification reduces risk by allocating investments across different assets.
Risk Management,Risk management involves identifying and minimizing financial risks.
Portfolio,Portfolio is a collection of investments held by an investor.
Asset Allocation,Asset allocation divides investments among asset categories.
Inflation,Inflation is the rate at which prices of goods and services rise.
Compound Interest,Compound interest is interest calculated on principal plus accumulated interest.
